chút,dịu,ruột,tỏi,ngát,vời,khẩu,thức,niềm,hài,mê,vỏ,lựa,phô,lừng,rụm,bữa,kết,giòn,độ,hàng,mai,ngon,thơm,ngậy,thưởng,mại,món,socola,bơ,khoái,bánh,mộc,hạt,mềm,lớp,vui,cưỡng,phức,mùi,nhấn,mẩn
0.0,0.0,0.05699149445621555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02773109370204455,0.0,0.0,0.0,0.0,0.0,0.0,0.002784549338894026,0.0,0.0,0.0,0.0,0.005719686320084393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023385830419643056,0.10298859261803985,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03697479160272606,0.0,0.0,0.0,0.0,0.0,0.0,0.0037127324518587013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03118110722619074,0.13731812349071978,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.3252574989159953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2059771852360797,0.011439372640168786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21683833261066354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037127324518587013,0.0,0.0,0.0,0.0,0.0076262484267791905,0.0,0.0,0.0,0.0,0.0,0.10034333188799373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07598865927495406,0.0,0.0
0.0,0.0,0.0,0.09154541566047986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024649861068484043,0.0,0.0,0.0,0.0,0.0,0.0,0.002475154967905801,0.0,0.0,0.0,0.09154541566047986,0.005084165617852793,0.0,0.0,0.0,0.0,0.0,0.06689555459199582,0.0,0.0,0.0,0.0,0.020787404817460494,0.0,0.0,0.0,0.0,0.05065910618330271,0.0,0.0
0.0,0.0,0.04559319556497244,0.0,0.0,0.13010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13010299956639812,0.0,0.1,0.0,0.0,0.002227639471115221,0.0,0.0,0.13010299956639812,0.0,0.0,0.13010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018708664335714446,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.05699149445621555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02773109370204455,0.0,0.0,0.0,0.0,0.0,0.0,0.002784549338894026,0.0,0.0,0.0,0.0,0.005719686320084393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.023385830419643056,0.0,0.0,0.0,0.0,0.05699149445621555,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02773109370204455,0.0,0.0,0.125,0.0,0.0,0.0,0.002784549338894026,0.0,0.0,0.0,0.0,0.005719686320084393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16262874945799766,0.0,0.0,0.0,0.0,0.16262874945799766,0.0,0.05699149445621555,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004455278942230442,0.0,0.0,0.0,0.16478174818886376,0.00915149811213503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03741732867142889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16262874945799766,0.0,0.05699149445621555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02773109370204455,0.0,0.0,0.0,0.0,0.0,0.0,0.002784549338894026,0.0,0.0,0.0,0.0,0.005719686320084393,0.0,0.0,0.0,0.0,0.16262874945799766,0.0,0.0,0.0,0.0,0.0,0.023385830419643056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.13010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.02218487496163564,0.0,0.0,0.0,0.0,0.0,0.0,0.002227639471115221,0.0,0.0,0.0,0.0,0.004575749056067515,0.0,0.0,0.1,0.0,0.0,0.06020599913279624,0.0,0.0,0.0,0.0,0.018708664335714446,0.08239087409443188,0.0,0.0,0.0,0.0,0.13010299956639812,0.0
0.0,0.0,0.0,0.11770124870633125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1858614279519973,0.0,0.0,0.0,0.0,0.0,0.0031823421015931726,0.0,0.0,0.0,0.0,0.0065367843658107345,0.0,0.0,0.0,0.0,0.0,0.08600857018970891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06513313652138919,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.004455278942230442,0.0,0.0,0.0,0.0,0.00915149811213503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1858614279519973,0.03169267851662234,0.0,0.0,0.0,0.0,0.0,0.0,0.0031823421015931726,0.0,0.0,0.0,0.0,0.0065367843658107345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02672666333673492,0.0,0.0,0.0,0.0,0.0,0.0,0.1858614279519973
0.0,0.0,0.04559319556497244,0.0,0.0,0.0,0.0,0.13010299956639812,0.0,0.0,0.0,0.02218487496163564,0.0,0.0,0.0,0.0,0.0,0.0,0.002227639471115221,0.26020599913279624,0.0,0.0,0.0,0.004575749056067515,0.0,0.13010299956639812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018708664335714446,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.09154541566047986,0.0,0.0,0.144558888407109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002475154967905801,0.0,0.0,0.0,0.0,0.005084165617852793,0.0,0.0,0.0,0.1111111111111111,0.0,0.06689555459199582,0.144558888407109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05065910618330271,0.0,0.0
0.0,0.0,0.07598865927495406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03697479160272606,0.0,0.0,0.0,0.0,0.0,0.0,0.0037127324518587013,0.0,0.0,0.0,0.0,0.0076262484267791905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03118110722619074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03169267851662234,0.0,0.0,0.0,0.0,0.1858614279519973,0.1858614279519973,0.0031823421015931726,0.0,0.0,0.0,0.0,0.0065367843658107345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02672666333673492,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.04559319556497244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02218487496163564,0.0,0.0,0.0,0.0,0.0,0.0,0.002227639471115221,0.0,0.13010299956639812,0.0,0.0,0.004575749056067515,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.018708664335714446,0.0,0.0,0.0,0.0,0.04559319556497244,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21683833261066354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037127324518587013,0.0,0.0,0.0,0.0,0.0076262484267791905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21683833261066354,0.0,0.21683833261066354,0.0,0.0,0.0
